name;quantity;description;price
63337GS WHI;2;Ring Felicity 925AG GP CZ S;57
63337GM WHI;7;Ring Felicity 925AG GP CZ M;57
63337GL WHI;9;Ring Felicity 925AG GP CZ L;57
63337GXL WHI;4;Ring Felicity 925AG GP CZ XL;57
62242G WHI;20;Earrings Rosalie 925AG GP CZ;47
61271G WHI;-5;Necklace Ophelia 925AG GP CZ;52
62240G WHI;28;Earrings Ophelia 925AG GP CZ;51
62242RG PIN;25;Earrings Rosalie 925AG RG CZ pink;47
63338RGS PIN;3;Ring Rosalie 925AG RG CZ S;57
63338RGM PIN;9;Ring Rosalie 925AG RG CZ M;57
63338RGL PIN;9;Ring Rosalie 925AG RG CZ L;57
63338RGXL PIN;4;Ring Rosalie 925AG RG CZ XL;57
63542RG PIN;27;Bracelete Rosalie 925AG RG CZ pink;52
63340S WHI;-2;Ring Caroline 925AG RH CZ S;57
63340M WHI;-3;Ring Caroline 925AG RH CZ M;57
63340L WHI;-2;Ring Caroline 925AG RH CZ L;57
63340XL WHI;-2;Ring Caroline 925AG RH CZ XL;57
62244;21;Earrings Sophia 925AG RH CZ;34
63340GS WHI;-2;Ring Caroline 925AG GP CZ S;57
63340GM WHI;-2;Ring Caroline 925AG GP CZ M;57
63340GL WHI;-3;Ring Caroline 925AG GP CZ L;57
63340GXL WHI;;Ring Caroline 925AG GP CZ XL;57
63543G WHI;-2;Bracelete Caroline 925AG GP CZ;52
63339S WHI;-1;Ring Camille 925AG RH CZ S;57
63339M WHI;-3;Ring Camille 925AG RH CZ M;57
63339L WHI;-3;Ring Camille 925AG RH CZ L;57
63339XL WHI;-3;Ring Camille 925AG RH CZ XL;57
63339GS WHI;;Ring Camille 925AG GP CZ S;57
63339GM WHI;;Ring Camille 925AG GP CZ M;57
63339GL WHI;-1;Ring Camille 925AG GP CZ L;57
63339GXL WHI;;Ring Camille 925AG GP CZ XL;57
62243 WHI;-10;Earrings Camille 925AG RH CZ;47
61273 WHI;-12;Necklace Camille 925AG RH CZ;79
61273G WHI;-9;Necklace Camille 925AG GP CZ;79
62254;0;Earrings Maya 925AG RH CZ;41
31003 WHI;0;Bracelete white pearl;44
12442;0;Anhänger Felicity Heart RH CRY;69
12441;-1;Necklace Felicity RH pearl;69
12435G;33;Anhänger Florescence GP CRY pearl;54
12375RG;2;Necklace Libertá STE RG;59
